,AUC_mean,AUC_std,SAUC_mean,SAUC_std,NSS_mean,NSS_std,CC_mean,CC_std,KLD_mean,KLD_std,SIM_mean,SIM_std
Action,0.8555343094865062,0.03508946319457507,0.8554672429591049,0.03508394021683644,1.177324652671814,0.17489804327487946,0.015416065957607014,0.001967024228049312,31.591252853576766,0.004332711473878387,0.00025968245925233355,1.6719429268019243e-05
Affective,0.8664376314653218,0.050393214677109895,0.8663671031057101,0.05038052611500474,1.2413568496704102,0.2636505961418152,0.016375241642089908,0.003349745195107341,31.592360564045627,0.003080023065300881,0.0002687596028368447,2.6740628980744738e-05
Art,0.8967405054539924,0.02425128247723225,0.8966769507137347,0.02424885721388862,1.255371332168579,0.15958097577095032,0.016033863974270188,0.0015874783243258023,31.59855418992089,0.006337147455330912,0.0002563333169636806,1.9285263485885527e-05
BlackWhite,0.9119209298867815,0.029195522215348317,0.9118527440200618,0.029186871256688833,1.426234245300293,0.24886532127857208,0.017990489801960597,0.002644928400181107,31.61857308586381,0.00597894440966132,0.000272822453342832,2.6867615339861214e-05
Cartoon,0.8375712424486892,0.06065516510961456,0.8375118152006171,0.06063977124028178,1.0881778001785278,0.2973661720752716,0.013943895880930948,0.00363607194900727,31.59033629851632,0.005307325574466288,0.00024369341359597421,2.62942289781475e-05
Fractal,0.9031708784034501,0.033445113917815454,0.9031052155671295,0.03343671132808832,1.3180346488952637,0.2197202444076538,0.01662000232975066,0.0028379682028010665,31.592845288614342,0.003907042385562576,0.00025050331245696987,2.8302509378327307e-05
Indoor,0.8714051377198893,0.03860622947568207,0.8713419897762344,0.03859692053530648,1.1457622051239014,0.22607341408729553,0.01476187094610093,0.002566987998308837,31.591219766314214,0.005110331892010021,0.0002484889360183363,2.2466203964125877e-05
Inverted,0.9011465871012773,0.017883990113491084,0.9010808979552468,0.017881611722664035,1.2687733173370361,0.12117716670036316,0.01633595550959785,0.001353259650682254,31.58712479389507,0.004455957830512687,0.00025531785646896625,1.5227159168095142e-05
Jumbled,0.8676667150323694,0.030769622642824873,0.8676123167438272,0.030763707666649685,1.101001262664795,0.1566319614648819,0.014286247249961498,0.001805021259609933,31.60989978254234,0.003537310773561167,0.0002570889496102661,1.9707355164810647e-05
LineDrawing,0.8995515262011008,0.02629543184331419,0.899489269868827,0.026289264466191776,1.28511643409729,0.14677371084690094,0.01608984047415147,0.0014999490656380356,31.59374495389423,0.0052720589459523985,0.00024594597971840635,1.6621443690783792e-05
LowResolution,0.9234424344414712,0.028826713140615023,0.9233828607253086,0.028816979982364137,1.4970474243164062,0.26854369044303894,0.017144458826148474,0.002830542853017682,31.58913808570776,0.0012766295039743718,0.00021584566900515308,1.977262958311977e-05
Noisy,0.918557713787173,0.017433994613411576,0.9184929108796295,0.017433185145500907,1.4059607982635498,0.13640442490577698,0.016760673493787896,0.0013556768905204795,31.58760730908471,0.003584646012286823,0.00022805257147389497,2.4176331186202523e-05
Object,0.8564054070018672,0.06044648626808299,0.8563498987268519,0.060432079648893376,1.035402536392212,0.22729240357875824,0.013185347154759556,0.002883781561410864,31.59369495310194,0.004703210546170293,0.00023308856801189192,2.899759168208554e-05
OutdoorManMade,0.8936275124236872,0.03213714070236376,0.8935622347608024,0.03212206511479727,1.30305016040802,0.23544514179229736,0.016766971987659706,0.0031577415060404265,31.62060021893897,0.005123949767342577,0.00027225649058048543,3.0354988210022772e-05
OutdoorNatural,0.9137936709116883,0.013614438787945047,0.913727322048611,0.013607289341766369,1.37419855594635,0.13482245802879333,0.01715439310460292,0.001976899810755593,31.60456293656738,0.005478872711526198,0.00025422473849807427,2.6430532055317755e-05
Pattern,0.920966154119529,0.02173574372880652,0.9209005111882714,0.02172729970122302,1.4598524570465088,0.19961072504520416,0.017614521928590584,0.002376537244712572,31.589980767282988,0.005964740605960857,0.0002371547538914573,2.2927196915373163e-05
Random,0.8925101050678299,0.027668275884301995,0.8924536795910493,0.027654791069818503,1.2491888999938965,0.19131508469581604,0.0158184963185412,0.0023614577850913487,31.608738525727745,0.001610771935765121,0.00025475818018747107,2.314617380801645e-05
Satelite,0.880178786800317,0.027696163920371282,0.880116054205247,0.027692152989792936,1.140575885772705,0.14717529714107513,0.014539954054464585,0.0018254292135685217,31.59268253390625,0.0057184068178550524,0.00024326573623347213,1.933417762985261e-05
Sketch,0.9290892725884057,0.022721637150164245,0.9290174816743827,0.02271610862986045,1.6363931894302368,0.19794762134552002,0.020092878736542943,0.0022068406778983666,31.595720429029466,0.003936580596488613,0.0002616220645038634,2.458043403530366e-05
Social,0.8282730083510902,0.059639724142670505,0.8282155189043209,0.05962484759455608,0.9175782203674316,0.22083595395088196,0.012493077710075965,0.0030493348049426407,31.58963929151684,0.005113285778504041,0.0002542212140002152,2.3053354158829963e-05
GLOBAL,0.8883994764346218,0.03292526770028704,0.8883362009307485,0.03291674904900869,1.266319990158081,0.1987065225839615,0.015971212354079743,0.0023636338310834724,31.596913831402382,0.004491497404105529,0.00025065631333252944,2.305026233414626e-05
