,AUC_mean,AUC_std,sAUC_mean,sAUC_std
Action,0.8554672188464505,0.035083835773208706,0.4160142421699125,0.06002220103067282
Affective,0.8663671272183644,0.0503805386644291,0.44092219775999936,0.08985627532534868
Art,0.8966770351080248,0.024248917577501947,0.49932614803253506,0.050084125839105216
BlackWhite,0.9118527199074075,0.02918686670695205,0.5321542336184018,0.06856890068821705
Cartoon,0.8375118272569445,0.060639818530705436,0.3956723943285773,0.09244581412693109
Fractal,0.9031051552854936,0.03343680119834438,0.5148193709081986,0.06621230573651049
Indoor,0.8713419174382715,0.03859690047599543,0.46260599424774684,0.07251560985023203
Inverted,0.9010809220679012,0.01788155927293019,0.5055167763008364,0.036992586035508555
Jumbled,0.8676123288001543,0.030763728793846857,0.4442923835158907,0.05156315208658637
LineDrawing,0.899489269868827,0.02628922415287092,0.5030102282384082,0.047353251921811446
LowResolution,0.9233828486689815,0.02881702974594751,0.5627410966316584,0.07101771085665919
Noisy,0.9184928988233025,0.01743316016170599,0.5472460105511883,0.03794895174855883
Object,0.856349838445216,0.060432090044648154,0.5182533960681127,0.09744396114425607
OutdoorManMade,0.893562210648148,0.032122130957182506,0.48231749974830923,0.07188548909269961
OutdoorNatural,0.9137273099922838,0.01360726221644815,0.5306863615924673,0.03407703512402755
Pattern,0.9209004509066357,0.021727305686188147,0.5542594213568931,0.05487321360395049
Random,0.8924537519290123,0.02765483550672897,0.4916943529859793,0.05575990407665357
Satelite,0.8801160059799382,0.027692200048869804,0.4639717468204241,0.048792626010533864
Sketch,0.9290174937307099,0.022716127419974374,0.5709562716699651,0.06292680106969199
Social,0.828215591242284,0.05962469266599003,0.45623400144821724,0.09488852111057094
GLOBAL,0.8883361961082177,0.032916751280023436,0.49463470639968604,0.0632614218239263
