,AUC_mean,AUC_std,sAUC_mean,sAUC_std,CC_mean,CC_std
Action,0.830454764660494,1.1102230246251565e-16,0.376945847933369,0.0002622678775225583,0.014459399455180193,1.734723475976807e-18
Affective,0.8310942322530865,1.1102230246251565e-16,0.3776646253729989,0.0003881979939489384,0.014499297200985816,1.734723475976807e-18
Art,0.8194784432870371,1.1102230246251565e-16,0.3825049744004838,0.00020421773305301299,0.012601167431039784,0.0
BlackWhite,0.8329200424382716,0.0,0.39044881536593146,0.00028887265008849136,0.013158388747190525,0.0
Cartoon,0.8378438464506173,0.0,0.3889512419778688,0.0003425252199079487,0.014702174175852695,1.734723475976807e-18
Fractal,0.8201919367283951,0.0,0.38297542883390395,0.0002282520197622228,0.012590865151774221,1.734723475976807e-18
Indoor,0.8323939043209878,1.1102230246251565e-16,0.38931266235065864,0.0002877482285477155,0.013056808135006478,1.734723475976807e-18
Inverted,0.8163505497685184,1.1102230246251565e-16,0.38136182428676946,0.0001624330639570077,0.012439575960084378,0.0
Jumbled,0.8288114872685185,0.0,0.3882544031260447,0.00024046363918914476,0.012940508187725606,0.0
LineDrawing,0.8197145061728396,1.1102230246251565e-16,0.3827912735893565,0.00019372362138947582,0.012593673950718639,1.734723475976807e-18
LowResolution,0.8153662712191357,1.1102230246251565e-16,0.3815455340807321,0.00027815332373880893,0.012390980381802925,1.734723475976807e-18
Noisy,0.8161945408950617,0.0,0.3815278358297739,0.0001322214871989394,0.012433393886780825,1.734723475976807e-18
Object,0.7886226851851852,0.0,0.39838933763203227,0.0003603479225248781,0.010569268502605042,1.734723475976807e-18
OutdoorManMade,0.8400523244598764,1.1102230246251565e-16,0.3900377687988751,0.0003260987090608963,0.013765760452478227,3.469446951953614e-18
OutdoorNatural,0.8225192901234569,1.1102230246251565e-16,0.38407015906384206,0.00017249142335131848,0.012704573149702348,3.469446951953614e-18
Pattern,0.8187560281635802,1.1102230246251565e-16,0.3825171378761153,0.00021648716407102615,0.01253365862637867,1.734723475976807e-18
Random,0.8268547453703704,0.0,0.3888085655122529,0.00030437844991011525,0.012864189288356285,0.0
Satelite,0.819254436728395,0.0,0.38245408042899626,0.00013417035453041102,0.012546967786854277,0.0
Sketch,0.8374279031635801,2.220446049250313e-16,0.38390808001537985,0.0002441457578175316,0.014570080314743794,3.469446951953614e-18
Social,0.7980427758487655,0.0,0.39380486249486724,0.00038522643535810397,0.011080097356868657,0.0
GLOBAL,0.8226172357253088,6.661338147750939e-17,0.38541372294851256,0.0002576211537464273,0.012925041407106468,1.3877787807814458e-18
