,epoch,timestamp,learning_rate,loss,validation_IG,validation_LL,validation_AUC,validation_NSS,train_loss_Action,val_ig_Action,val_ll_Action,train_loss_Affective,val_ig_Affective,val_ll_Affective,train_loss_Art,val_ig_Art,val_ll_Art,train_loss_BlackWhite,val_ig_BlackWhite,val_ll_BlackWhite,train_loss_Cartoon,val_ig_Cartoon,val_ll_Cartoon,train_loss_Fractal,val_ig_Fractal,val_ll_Fractal,train_loss_Indoor,val_ig_Indoor,val_ll_Indoor,train_loss_Inverted,val_ig_Inverted,val_ll_Inverted,train_loss_Jumbled,val_ig_Jumbled,val_ll_Jumbled,train_loss_LineDrawing,val_ig_LineDrawing,val_ll_LineDrawing,train_loss_LowResolution,val_ig_LowResolution,val_ll_LowResolution,train_loss_Noisy,val_ig_Noisy,val_ll_Noisy,train_loss_Object,val_ig_Object,val_ll_Object,train_loss_OutdoorManMade,val_ig_OutdoorManMade,val_ll_OutdoorManMade,train_loss_OutdoorNatural,val_ig_OutdoorNatural,val_ll_OutdoorNatural,train_loss_Pattern,val_ig_Pattern,val_ll_Pattern,train_loss_Random,val_ig_Random,val_ll_Random,train_loss_Satelite,val_ig_Satelite,val_ll_Satelite,train_loss_Sketch,val_ig_Sketch,val_ll_Sketch,train_loss_Social,val_ig_Social,val_ll_Social
1,1,2024-11-18 01:42:47.056299,0.0001,4551.006774139404,-4528.426739501953,-4545.062034606934,0.8648822423070669,1.8987305760383606,4626.158092498779,-4700.5577392578125,-4717.19303894043,4828.108985900879,-4782.192932128906,-4798.828201293945,4667.439453125,-4587.768783569336,-4604.404098510742,4432.65584564209,-4267.467437744141,-4284.102798461914,4938.606288909912,-4927.638885498047,-4944.274139404297,4290.208042144775,-4329.07666015625,-4345.711975097656,4793.583507537842,-4938.7664794921875,-4955.4017333984375,4725.219703674316,-4959.1181640625,-4975.753448486328,5004.849411010742,-4899.484710693359,-4916.119964599609,4629.820873260498,-4571.05924987793,-4587.694534301758,3809.624671936035,-3682.710006713867,-3699.345458984375,4061.2124671936035,-4099.266159057617,-4115.90153503418,4490.595287322998,-4521.213180541992,-4537.848495483398,4753.32438659668,-4739.842178344727,-4756.477447509766,4411.792655944824,-4312.94987487793,-4329.585235595703,4245.632244110107,-4211.286437988281,-4227.921813964844,4420.871643066406,-4233.31086730957,-4249.946243286133,4546.619834899902,-4607.626861572266,-4624.262145996094,4155.866794586182,-4158.424301147461,-4175.059646606445,5187.945281982422,-5038.773712158203,-5055.408966064453
2,2,2024-11-18 02:15:46.051053,0.0001,4501.897724914551,-4516.660887145996,-4533.296243286133,0.868285833671689,1.9698431342840195,4557.8378829956055,-4685.672744750977,-4702.308044433594,4767.8030128479,-4762.681411743164,-4779.316696166992,4619.338729858398,-4575.295974731445,-4591.931289672852,4375.653751373291,-4256.816650390625,-4273.452011108398,4896.089065551758,-4918.942230224609,-4935.577484130859,4241.886405944824,-4316.326065063477,-4332.961380004883,4760.861915588379,-4925.355224609375,-4941.990478515625,4689.145149230957,-4946.381530761719,-4963.016815185547,4970.913990020752,-4888.982528686523,-4905.6177978515625,4582.638847351074,-4567.662414550781,-4584.297698974609,3756.8124465942383,-3671.4825592041016,-3688.1180114746094,4016.1480407714844,-4092.3251037597656,-4108.960479736328,4441.655403137207,-4505.437240600586,-4522.072570800781,4711.565650939941,-4727.797668457031,-4744.432952880859,4379.6513023376465,-4302.688079833984,-4319.323440551758,4185.241302490234,-4201.799407958984,-4218.434783935547,4361.290382385254,-4223.860702514648,-4240.496078491211,4522.90852355957,-4601.816711425781,-4618.451995849609,4070.868824005127,-4140.061218261719,-4156.696563720703,5129.643772125244,-5021.832611083984,-5038.467864990234
3,3,2024-11-18 02:48:55.646408,0.0001,4492.007600021362,-4513.1581756591795,-4529.793487548828,0.8695236895233392,1.9974746331572533,4544.608783721924,-4681.555618286133,-4698.19091796875,4753.850288391113,-4759.57893371582,-4776.214218139648,4610.119380950928,-4572.139984130859,-4588.775299072266,4366.6676025390625,-4250.433822631836,-4267.069183349609,4887.506084442139,-4915.704895019531,-4932.340148925781,4232.226341247559,-4314.326721191406,-4330.9620361328125,4753.542263031006,-4921.055328369141,-4937.690582275391,4678.524391174316,-4943.272384643555,-4959.907669067383,4963.377552032471,-4887.680450439453,-4904.315704345703,4573.76456451416,-4562.974365234375,-4579.609649658203,3748.0206985473633,-3664.670608520508,-3681.3060607910156,4007.682071685791,-4090.3680114746094,-4107.003387451172,4428.521160125732,-4501.76969909668,-4518.405014038086,4702.995944976807,-4726.709197998047,-4743.344482421875,4369.484642028809,-4300.3267822265625,-4316.962142944336,4177.979476928711,-4199.553298950195,-4216.188674926758,4349.289394378662,-4219.52946472168,-4236.164855957031,4516.873756408691,-4598.584884643555,-4615.220169067383,4058.1156272888184,-4136.270919799805,-4152.906265258789,5117.001899719238,-5016.657989501953,-5033.293243408203
4,4,2024-11-18 03:21:16.163632,0.0001,4485.248065948486,-4509.38868560791,-4526.023994445801,0.8699495770037174,2.0173031494021414,4536.1130027771,-4677.247299194336,-4693.882598876953,4748.772869110107,-4754.26643371582,-4770.901718139648,4603.376655578613,-4568.468399047852,-4585.103713989258,4357.775722503662,-4247.911773681641,-4264.547134399414,4878.671051025391,-4911.4947509765625,-4928.1300048828125,4228.99393081665,-4308.289962768555,-4324.925277709961,4747.19868850708,-4920.5921630859375,-4937.2274169921875,4673.314918518066,-4942.843078613281,-4959.478363037109,4957.661430358887,-4885.332656860352,-4901.967926025391,4567.872745513916,-4562.750061035156,-4579.385345458984,3741.2131385803223,-3657.4547119140625,-3674.0901641845703,4001.670478820801,-4086.2813720703125,-4102.916748046875,4419.569110870361,-4499.293380737305,-4515.9287109375,4696.02258682251,-4724.439315795898,-4741.074600219727,4364.042957305908,-4295.364334106445,-4311.999694824219,4171.638580322266,-4190.25862121582,-4206.893997192383,4343.635303497314,-4214.700347900391,-4231.335739135742,4513.296585083008,-4595.61311340332,-4612.248397827148,4046.1929473876953,-4130.374984741211,-4147.010330200195,5107.928726196289,-5014.796722412109,-5031.431976318359
5,5,2024-11-18 03:53:33.370489,0.0001,4479.791640472412,-4506.831628417969,-4523.466905212403,0.8709187749773264,2.03503282815218,4530.73477935791,-4675.3221435546875,-4691.957443237305,4739.232456207275,-4753.698532104492,-4770.33381652832,4596.425510406494,-4569.2535400390625,-4585.888854980469,4353.603698730469,-4247.984939575195,-4264.620300292969,4871.530139923096,-4906.3565673828125,-4922.9918212890625,4223.745517730713,-4304.884094238281,-4321.5194091796875,4743.923679351807,-4915.781219482422,-4932.416473388672,4666.6770095825195,-4936.09831237793,-4952.733596801758,4955.319511413574,-4880.520614624023,-4897.1558837890625,4562.385234832764,-4560.239807128906,-4576.875091552734,3738.0836791992188,-3652.0733489990234,-3668.7088012695312,3996.0601119995117,-4081.426315307617,-4098.06169128418,4413.761196136475,-4499.285934448242,-4515.9212646484375,4692.267032623291,-4723.09098815918,-4739.726272583008,4359.773326873779,-4293.57763671875,-4310.212997436523,4166.610462188721,-4190.49934387207,-4207.134719848633,4336.845050811768,-4213.806106567383,-4230.441497802734,4508.884044647217,-4593.048294067383,-4609.68359375,4039.064010620117,-4127.777099609375,-4144.412445068359,5100.906562805176,-5011.907287597656,-5028.542541503906
6,6,2024-11-18 04:25:26.698555,0.0001,4474.789778518677,-4504.649104309082,-4521.284420776367,0.8715363066643477,2.0451381683349608,4522.662372589111,-4672.624618530273,-4689.259918212891,4731.397205352783,-4747.115661621094,-4763.750946044922,4592.7260665893555,-4563.714859008789,-4580.350173950195,4348.704029083252,-4248.147308349609,-4264.782669067383,4866.3430519104,-4905.850311279297,-4922.485565185547,4218.917949676514,-4301.461410522461,-4318.096725463867,4739.20499420166,-4914.200958251953,-4930.836212158203,4664.53776550293,-4934.969940185547,-4951.605224609375,4952.809452056885,-4880.651870727539,-4897.287139892578,4560.0026206970215,-4553.493209838867,-4570.128494262695,3732.267478942871,-3652.125732421875,-3668.761199951172,3990.1196899414062,-4080.6788330078125,-4097.314208984375,4409.26473236084,-4495.598861694336,-4512.234191894531,4687.135112762451,-4720.661773681641,-4737.297058105469,4353.1142654418945,-4290.8243408203125,-4307.459701538086,4162.325717926025,-4189.705917358398,-4206.341293334961,4329.5991134643555,-4213.505615234375,-4230.141006469727,4506.273780822754,-4592.477584838867,-4609.112884521484,4035.896987915039,-4128.84211730957,-4145.477462768555,5092.4932861328125,-5006.330993652344,-5022.966247558594
7,7,2024-11-18 04:58:48.980965,0.0001,4470.283325958252,-4503.815274047852,-4520.450575256347,0.8716117929667234,2.0540109500288963,4518.482837677002,-4668.890472412109,-4685.525772094727,4727.457324981689,-4746.206802368164,-4762.842086791992,4588.927017211914,-4565.066513061523,-4581.70182800293,4344.984977722168,-4245.667022705078,-4262.302383422852,4861.331943511963,-4905.604522705078,-4922.239776611328,4215.443244934082,-4298.984222412109,-4315.619537353516,4737.196273803711,-4913.445343017578,-4930.080596923828,4658.847702026367,-4932.00358581543,-4948.638870239258,4946.776851654053,-4881.225723266602,-4897.860992431641,4557.743957519531,-4559.125427246094,-4575.760711669922,3725.9430541992188,-3650.394790649414,-3667.030258178711,3988.257354736328,-4080.0960540771484,-4096.731430053711,4402.809234619141,-4497.0928955078125,-4513.728225708008,4684.1311683654785,-4720.109924316406,-4736.745208740234,4351.183589935303,-4291.900680541992,-4308.536041259766,4159.148067474365,-4187.917205810547,-4204.552581787109,4323.429821014404,-4211.21647644043,-4227.851867675781,4498.121292114258,-4590.319976806641,-4606.955276489258,4029.145420074463,-4125.679748535156,-4142.315093994141,5086.305423736572,-5005.358001708984,-5021.993255615234
8,8,2024-11-18 05:31:45.797484,0.0001,4466.865242385864,-4502.83040008545,-4519.465701293945,0.871815612912178,2.059684347361326,4514.601001739502,-4668.502105712891,-4685.137405395508,4722.200714111328,-4744.96321105957,-4761.598495483398,4587.902778625488,-4566.563858032227,-4583.199172973633,4342.315483093262,-4246.500549316406,-4263.13591003418,4857.123138427734,-4905.392547607422,-4922.027801513672,4214.1223487854,-4297.623931884766,-4314.259246826172,4732.3488121032715,-4912.426452636719,-4929.061706542969,4653.635894775391,-4928.760101318359,-4945.3953857421875,4945.388404846191,-4879.605529785156,-4896.240783691406,4552.684986114502,-4557.810729980469,-4574.446014404297,3721.4034881591797,-3649.3976287841797,-3666.0330963134766,3987.4403228759766,-4079.4051513671875,-4096.04052734375,4399.356224060059,-4496.563339233398,-4513.198669433594,4679.461673736572,-4719.917526245117,-4736.552810668945,4346.999542236328,-4289.590896606445,-4306.226257324219,4157.448776245117,-4186.438079833984,-4203.073455810547,4321.2868309021,-4209.690383911133,-4226.325775146484,4493.887672424316,-4587.959991455078,-4604.595291137695,4025.3893966674805,-4125.076065063477,-4141.711410522461,5082.307270050049,-5004.419738769531,-5021.054992675781
9,9,2024-11-18 06:03:31.484535,0.0001,4463.15619430542,-4503.013931274414,-4519.649279785156,0.8717358540743589,2.0694029863923786,4510.171585083008,-4670.591857910156,-4687.227157592773,4714.058082580566,-4742.98193359375,-4759.617218017578,4583.717956542969,-4562.523620605469,-4579.158935546875,4336.938259124756,-4244.8507080078125,-4261.486068725586,4853.810894012451,-4905.491455078125,-4922.126708984375,4209.564430236816,-4300.70930480957,-4317.344619750977,4731.2672119140625,-4912.969329833984,-4929.604583740234,4649.636905670166,-4930.099655151367,-4946.734939575195,4942.0899658203125,-4881.102249145508,-4897.737518310547,4550.30729675293,-4559.830535888672,-4576.4658203125,3718.4632835388184,-3643.4005279541016,-3660.0359954833984,3983.247287750244,-4080.3790130615234,-4097.014389038086,4394.498271942139,-4499.873458862305,-4516.5087890625,4679.189033508301,-4719.5565185546875,-4736.191802978516,4345.633033752441,-4291.697692871094,-4308.333053588867,4152.76708984375,-4187.162521362305,-4203.797897338867,4316.861656188965,-4208.129379272461,-4224.7647705078125,4492.719966888428,-4590.696197509766,-4607.331497192383,4022.588554382324,-4124.408950805664,-4141.044296264648,5075.59309387207,-5003.823913574219,-5020.459167480469
10,10,2024-11-18 06:34:29.450514,0.0001,4459.94288597107,-4501.361506652832,-4517.9968185424805,0.8722993310540914,2.0764310345053674,4503.786396026611,-4667.646942138672,-4684.282241821289,4712.708873748779,-4742.246765136719,-4758.882049560547,4579.079822540283,-4563.793685913086,-4580.429000854492,4331.1139793396,-4243.996322631836,-4260.631683349609,4849.454265594482,-4908.291595458984,-4924.926849365234,4209.028495788574,-4299.279113769531,-4315.9144287109375,4726.148685455322,-4912.433837890625,-4929.069091796875,4649.393898010254,-4927.554718017578,-4944.190002441406,4940.403148651123,-4877.886489868164,-4894.521759033203,4548.029026031494,-4550.365936279297,-4567.001220703125,3713.9654960632324,-3643.0135650634766,-3659.6490325927734,3978.3526878356934,-4077.583526611328,-4094.2189025878906,4392.187969207764,-4497.198486328125,-4513.83381652832,4673.004844665527,-4717.596221923828,-4734.231506347656,4342.402942657471,-4292.402481079102,-4309.037841796875,4150.243457794189,-4186.575012207031,-4203.210388183594,4313.795574188232,-4210.288497924805,-4226.923889160156,4491.210079193115,-4587.401138305664,-4604.036437988281,4021.4429512023926,-4122.402557373047,-4139.037902832031,5073.1052894592285,-4999.273223876953,-5015.908477783203
