Columna1,epoch,timestamp,learning_rate,loss,validation_IG,validation_LL,validation_AUC,validation_NSS,train_loss_Action,val_ig_Action,val_ll_Action,train_loss_Affective,val_ig_Affective,val_ll_Affective,train_loss_Art,val_ig_Art,val_ll_Art,train_loss_BlackWhite,val_ig_BlackWhite,val_ll_BlackWhite,train_loss_Cartoon,val_ig_Cartoon,val_ll_Cartoon,train_loss_Fractal,val_ig_Fractal,val_ll_Fractal,train_loss_Indoor,val_ig_Indoor,val_ll_Indoor,train_loss_Inverted,val_ig_Inverted,val_ll_Inverted,train_loss_Jumbled,val_ig_Jumbled,val_ll_Jumbled,train_loss_LineDrawing,val_ig_LineDrawing,val_ll_LineDrawing,train_loss_LowResolution,val_ig_LowResolution,val_ll_LowResolution,train_loss_Noisy,val_ig_Noisy,val_ll_Noisy,train_loss_Object,val_ig_Object,val_ll_Object,train_loss_OutdoorManMade,val_ig_OutdoorManMade,val_ll_OutdoorManMade,train_loss_OutdoorNatural,val_ig_OutdoorNatural,val_ll_OutdoorNatural,train_loss_Pattern,val_ig_Pattern,val_ll_Pattern,train_loss_Random,val_ig_Random,val_ll_Random,train_loss_Satelite,val_ig_Satelite,val_ll_Satelite,train_loss_Sketch,val_ig_Sketch,val_ll_Sketch,train_loss_Social,val_ig_Social,val_ll_Social
1,1,45:48.3,0.0001,4540.164944,-4491.28803,-4507.924286,0.864693601,1.990131977,4699.08197,-4538.835266,-4555.471497,4844.415622,-4740.578101,-4757.214331,4602.578683,-4751.568494,-4768.204724,4412.038528,-4352.43894,-4369.075171,4856.530814,-5006.765137,-5023.401367,4335.402777,-4279.108618,-4295.744849,4781.301358,-4903.410864,-4920.047095,4742.024637,-4735.236133,-4751.872363,4969.364346,-4881.34856,-4897.98479,4586.441309,-4510.999939,-4527.636169,3721.956815,-3812.02605,-3828.66228,4016.648624,-4146.641943,-4163.278174,4498.542783,-4521.362842,-4537.999072,4754.292252,-4570.2505,-4586.886731,4388.993619,-4362.878894,-4379.515125,4213.882709,-4054.651367,-4071.287598,4418.682629,-4279.819653,-4296.455884,4624.213596,-4367.834766,-4384.470996,4137.945868,-4032.974792,-4049.611023,5198.959836,-4977.030127,-4993.666357
2,2,59:46.0,0.0001,4504.121724,-4484.532078,-4501.168311,0.867323045,2.023148727,4659.795251,-4533.998572,-4550.634802,4789.931433,-4730.497583,-4747.133813,4570.849408,-4747.319678,-4763.955908,4374.340192,-4350.051563,-4366.687793,4825.661716,-4996.90127,-5013.5375,4295.85629,-4276.452722,-4293.088953,4754.391687,-4896.342761,-4912.978992,4714.828021,-4731.056592,-4747.692822,4938.324237,-4873.102979,-4889.739209,4556.345224,-4505.568982,-4522.205212,3684.002872,-3806.929016,-3823.565247,3985.478391,-4141.117822,-4157.754053,4442.999023,-4509.414771,-4526.051001,4729.830637,-4566.325867,-4582.962097,4357.59122,-4358.941382,-4375.577612,4173.831894,-4048.119019,-4064.755249,4372.467426,-4266.682288,-4283.318518,4608.520789,-4364.694678,-4381.330908,4085.978656,-4019.483276,-4036.119507,5161.410068,-4967.640771,-4984.277002
3,3,13:44.5,0.0001,4496.513769,-4481.318375,-4497.954589,0.867727482,2.037271507,4647.978952,-4529.622961,-4546.259192,4779.575558,-4727.127966,-4743.764197,4563.271658,-4743.775012,-4760.411243,4368.406525,-4343.783105,-4360.419336,4816.597101,-4994.494092,-5011.130322,4288.896249,-4272.162964,-4288.799194,4747.224362,-4892.923389,-4909.559619,4709.533627,-4727.917651,-4744.553882,4931.544174,-4871.790369,-4888.426599,4551.64823,-4503.335754,-4519.971985,3679.111841,-3803.046985,-3819.683215,3979.703125,-4136.207397,-4152.843628,4434.411414,-4512.370337,-4529.006567,4721.866315,-4563.548914,-4580.185144,4350.072821,-4353.109473,-4369.745703,4168.993878,-4049.021265,-4065.657495,4361.739194,-4262.116785,-4278.753015,4602.868564,-4357.776501,-4374.412732,4076.483444,-4017.822107,-4034.458337,5150.348349,-4964.414258,-4981.050488
4,4,27:33.0,0.0001,4491.71288,-4479.281589,-4495.917823,0.869060198,2.05017985,4644.741882,-4525.813818,-4542.450049,4774.759662,-4723.833228,-4740.469458,4558.434073,-4742.478711,-4759.114941,4362.12309,-4340.621985,-4357.258215,4811.237064,-4988.194897,-5004.831128,4286.757321,-4270.411035,-4287.047266,4740.914734,-4890.89834,-4907.53457,4704.320114,-4726.412451,-4743.048682,4926.492688,-4869.059058,-4885.695288,4544.879071,-4502.340576,-4518.976807,3676.023306,-3803.284436,-3819.920667,3976.10271,-4138.241748,-4154.877979,4428.456845,-4510.041064,-4526.677295,4718.366602,-4561.498035,-4578.134265,4347.149176,-4348.758167,-4365.394397,4163.940582,-4047.88656,-4064.522791,4357.029538,-4260.325842,-4276.962073,4599.745343,-4356.990735,-4373.626965,4069.793411,-4014.812903,-4031.449133,5142.990375,-4963.728271,-4980.364502
5,5,41:11.9,0.0001,4486.792243,-4479.398876,-4496.035088,0.86868645,2.047974124,4638.655997,-4529.549939,-4546.186169,4766.419147,-4726.147986,-4742.784216,4553.128391,-4743.938135,-4760.574365,4357.657825,-4343.304077,-4359.940308,4806.85957,-4989.568311,-5006.204541,4283.399442,-4269.004358,-4285.640588,4737.545026,-4893.138098,-4909.774329,4698.535318,-4723.041431,-4739.677661,4924.333578,-4872.192004,-4888.828235,4542.958282,-4498.716699,-4515.35293,3670.788077,-3798.900879,-3815.537109,3972.407153,-4135.676697,-4152.312927,4421.095016,-4509.840796,-4526.477026,4714.78042,-4561.82323,-4578.45946,4344.67323,-4353.625085,-4370.261316,4158.927362,-4045.609619,-4062.24585,4350.64473,-4259.994812,-4276.631042,4593.700323,-4358.225293,-4374.861523,4065.915207,-4013.072998,-4029.709229,5133.420804,-4962.606909,-4979.24314
6,6,54:26.1,0.0001,4483.091705,-4477.304784,-4493.941024,0.869122331,2.057798678,4632.516013,-4526.814868,-4543.451099,4759.205273,-4726.067407,-4742.703638,4552.228687,-4741.378894,-4758.015125,4353.830005,-4339.68606,-4356.32229,4803.498724,-4986.518555,-5003.154785,4279.303476,-4267.277234,-4283.913464,4733.902133,-4889.813098,-4906.449329,4696.648834,-4722.886304,-4739.522534,4921.60097,-4867.60686,-4884.243091,4540.973889,-4498.562451,-4515.198682,3665.505472,-3797.273474,-3813.909705,3971.159131,-4132.263989,-4148.90022,4416.282782,-4508.098853,-4524.735083,4708.532059,-4559.999695,-4576.635925,4339.821643,-4349.597693,-4366.233923,4157.117758,-4048.219983,-4064.856213,4347.037823,-4256.138586,-4272.774817,4592.860483,-4355.977368,-4372.613599,4060.935764,-4010.927161,-4027.563391,5128.873212,-4960.98728,-4977.623511
7,7,07:36.8,0.0001,4480.071558,-4477.33562,-4493.971846,0.869563389,2.060037574,4630.17977,-4526.121033,-4542.757263,4754.62912,-4726.903394,-4743.539624,4548.727499,-4742.843323,-4759.479553,4351.049323,-4343.171667,-4359.807898,4800.251736,-4986.739624,-5003.375854,4278.278033,-4267.531116,-4284.167346,4729.612518,-4891.124927,-4907.761157,4693.35578,-4725.553955,-4742.190186,4918.270267,-4870.415051,-4887.051282,4538.760867,-4496.074292,-4512.710522,3662.014661,-3795.08468,-3811.720911,3968.36673,-4132.358972,-4148.995203,4412.775717,-4506.311072,-4522.947302,4708.329459,-4560.302087,-4576.938318,4337.026642,-4350.430664,-4367.066895,4154.504449,-4045.159766,-4061.795996,4342.56521,-4258.979419,-4275.615649,4588.040497,-4356.872803,-4373.509033,4059.427219,-4005.730115,-4022.366345,5125.26553,-4959.004346,-4975.640576
8,8,20:48.6,0.0001,4476.81198,-4478.009403,-4494.645636,0.868804985,2.0548755,4625.28851,-4527.395166,-4544.031396,4748.515686,-4724.737231,-4741.373462,4545.346036,-4741.525208,-4758.161438,4346.957748,-4341.09696,-4357.733191,4794.275085,-4987.731201,-5004.367432,4276.639957,-4266.39989,-4283.036121,4728.515121,-4891.988843,-4908.625073,4690.48461,-4723.807251,-4740.443481,4915.951254,-4867.788623,-4884.424854,4537.496802,-4503.760706,-4520.396936,3659.251569,-3794.730249,-3811.366479,3966.030042,-4130.755005,-4147.391235,4411.680688,-4510.87229,-4527.508521,4706.126743,-4561.622754,-4578.258984,4331.520773,-4350.715967,-4367.352197,4151.835211,-4046.350562,-4062.986792,4338.773187,-4260.24928,-4276.88551,4586.16951,-4356.930798,-4373.567029,4057.523203,-4011.018494,-4027.654724,5117.857727,-4960.711694,-4977.347925
9,9,33:58.9,0.0001,4473.712757,-4476.896053,-4493.532302,0.869052147,2.059307919,4619.708261,-4523.864502,-4540.500732,4743.335529,-4723.019531,-4739.655762,4541.773868,-4740.251282,-4756.887512,4343.327106,-4340.638513,-4357.274744,4793.549698,-4987.536987,-5004.173218,4274.129382,-4264.973889,-4281.61012,4724.778503,-4893.202893,-4909.839124,4688.783292,-4723.136694,-4739.772925,4913.595612,-4869.761292,-4886.397522,4536.426813,-4498.167004,-4514.803235,3656.934195,-3792.28584,-3808.92207,3962.717145,-4130.903503,-4147.539734,4406.522699,-4512.855615,-4529.491846,4700.126886,-4562.394092,-4579.030322,4330.656046,-4351.363879,-4368.00011,4150.867282,-4043.069739,-4059.705969,4335.302191,-4259.275098,-4275.911328,4582.899957,-4358.078796,-4374.715027,4055.346884,-4007.485083,-4024.121313,5113.473846,-4955.657007,-4972.293237
10,10,47:10.3,0.0001,4470.22201,-4478.198784,-4494.835001,0.869760033,2.064910027,4614.900171,-4527.424316,-4544.060547,4739.340372,-4728.376611,-4745.012842,4537.587802,-4743.620325,-4760.256555,4341.313043,-4340.869849,-4357.506079,4791.344205,-4984.021484,-5000.657715,4271.069739,-4267.209326,-4283.845557,4722.757059,-4890.531641,-4907.167871,4685.362057,-4724.526123,-4741.162354,4910.95271,-4870.541125,-4887.177356,4532.086624,-4501.028223,-4517.664453,3655.119495,-3793.543481,-3810.179712,3960.66037,-4130.907764,-4147.543994,4402.120224,-4513.005359,-4529.641589,4700.871875,-4560.705164,-4577.341394,4327.373907,-4355.349072,-4371.985303,4147.746292,-4047.834131,-4064.470361,4330.940051,-4259.090747,-4275.726978,4577.606961,-4356.035876,-4372.672107,4050.228879,-4007.218713,-4023.854944,5105.058109,-4962.136304,-4978.772534
